square_footage,bedrooms,bathrooms,price
1998.5283803115599,4,3.883571691471743,625866.004305814
3842.285780511732,3,3.716051925868191,844497.6669585445
3142.380613796496,1,1.5873734043678893,589729.0930856691
2715.7071494305173,4,1.2080839026254964,633398.2615162475
1299.259649415797,4,1.30233400413228,428561.46883047046
1299.1824650758485,3,1.054665476954649,356942.0597543706
985.8675589382383,1,1.283328882267785,227494.13510724704
3571.7636664797924,3,3.0490203202490704,784781.169440338
2723.568037578268,1,1.213565945380687,510081.95633106783
3065.8322489473458,5,1.956926890881284,750139.3375849877
865.8703817465678,2,3.5346259329083636,353311.4536513493
3903.711526918382,2,1.0698158072074775,744763.9604300805
3463.8164505613495,2,3.4434054477668075,731143.3290816807
1479.4851541704838,3,1.8455643243201998,464825.61910633993
1381.839895062722,5,1.3544944828649688,482435.03476328595
1386.8944315309882,1,3.090211496092452,325847.4155461935
1773.5751774705207,4,2.886828540339652,517066.7278526821
2479.2205812231614,1,3.632416040581159,560776.4546306926
2182.2240596547704,4,3.205213131411657,636577.3160176465
1731.9332486337341,1,3.4104427911545456,410991.5776114874
2757.929263111614,5,1.8461037177139195,724671.873524556
1246.3803540865338,4,1.5323186313391686,410416.8311071876
1734.8628753126982,3,3.251844254922575,556699.7985369185
1972.3578985398135,1,3.420504217801792,451053.2349545303
2259.423949494515,1,3.97151542600202,510246.9510963357
3312.5630764576435,4,2.2378530307342794,778535.3848686488
1438.9561029067513,3,2.1160542573783494,438945.2277920974
2445.550202923557,3,3.3292388822259906,621187.377390896
2695.726620358536,5,2.0224106207590538,699221.8225676458
948.6413207039927,3,3.792271976810694,415493.72455263964
2744.143526084603,3,3.5752382555290354,706519.1665080623
1345.6771957993328,3,2.2869820821250553,447369.44275675114
1008.1650975528944,2,3.252613203374492,380666.89326695685
3836.4337192106664,5,3.263628622254047,913149.6030205977
3890.02250583859,1,1.3093716065077978,652992.4276658507
3386.8715139726755,4,3.7076587200387,816744.7502950693
1774.7640613547862,1,2.5157571173435715,392801.820969299
1112.5507648204284,5,3.4793723983232248,543147.6170421799
2989.545684838902,4,1.9601488030918353,673387.024224294
2208.487979966724,5,3.6865696854886014,722461.293948879
1190.5223515032922,3,2.1676050362024895,390446.34583998873
2384.566112356065,4,1.032512954440895,580122.6840876882
910.0432675686989,3,3.7161459292577907,377748.7805078352
3709.8252866521025,1,1.2738600303584007,611592.4604712521
